,State,Year,Population,CO2 Emissions (Millions of tonnes),PPP,GDP,Average Salary,Average Disposable Income,Violent Crimes Committed,Unemployment Rate,Hospital Count,Traffic Fatalities,Air Quality Index
0,Alabama,1960,3266740,,,,1585.0,1448.0,,,,,
1,Alabama,1961,3284482,,,,1616.0,1484.0,,,,,
2,Alabama,1962,3302225,,,,1695.0,1545.0,,,,,
3,Alabama,1963,3319967,,,,1782.0,1625.0,,,,,
4,Alabama,1964,3337710,,,,1914.0,1755.0,,,,,
5,Alabama,1965,3355452,,,,2048.0,1874.0,,,,,
6,Alabama,1966,3373195,,,,2184.0,1981.0,,,,,
7,Alabama,1967,3390937,,,,2311.0,2096.0,,,,,
8,Alabama,1968,3408680,,,,2536.0,2282.0,,,,,
9,Alabama,1969,3426422,,,,2831.0,2515.0,,,,,
10,Alabama,1970,3444165,102.7173078907846,,,3081.0,2781.0,,,,,
11,Alabama,1971,3489137,98.51640341427552,,,3345.0,3032.0,,,,,
12,Alabama,1972,3534109,104.9847885635046,,,3672.0,3303.0,,,,,
13,Alabama,1973,3579081,109.6180743792195,,,4088.0,3677.0,,,,,
14,Alabama,1974,3624054,108.8319482836151,,,4477.0,4019.0,,,,,
15,Alabama,1975,3669026,107.8278915343067,,,4918.0,4460.0,,,,,
16,Alabama,1976,3713998,108.123429270475,,,5438.0,4896.0,,6.7,,,
17,Alabama,1977,3758971,111.7153845447729,,,5920.0,5324.0,,7.15,,,
18,Alabama,1978,3803943,106.6656647508697,,,6609.0,5928.0,,6.41,,,
19,Alabama,1979,3848915,111.6182401301944,,,7275.0,6491.0,,7.22,,,
20,Alabama,1980,3893888,107.1726086994112,,,7959.0,7084.0,,8.82,,,44.857142857142854
21,Alabama,1981,3908557,103.8295218288078,,,8793.0,7808.0,,10.69,,,44.25
22,Alabama,1982,3923227,90.9887957539102,,,9269.0,8313.0,,13.95,,,40.625
23,Alabama,1983,3937897,89.98673042726229,,,9908.0,8886.0,,13.82,,,42.0
24,Alabama,1984,3952567,95.38980097399784,,,10840.0,9764.0,,11.28,,,45.0
25,Alabama,1985,3967237,101.750498858886,,,11601.0,10384.0,,9.54,,,44.25
26,Alabama,1986,3981907,101.8502516668857,,,12220.0,10941.0,,9.57,,,47.5
27,Alabama,1987,3996577,103.9666042517881,,,12830.0,11419.0,,8.18,,,46.285714285714285
28,Alabama,1988,4011247,105.2215706894474,,,13800.0,12383.0,,7.28,,,43.333333333333336
29,Alabama,1989,4025917,110.0067376099079,,,14975.0,13366.0,,7.0,,,30.833333333333332
30,Alabama,1990,4040587,109.7515985985415,,,15860.0,14174.0,,6.82,,,30.863636363636363
31,Alabama,1991,4081238,114.0553961220242,,,16585.0,14880.0,,7.32,,,28.17391304347826
32,Alabama,1992,4121889,120.9753011169592,,,17574.0,15813.0,,7.52,,,27.916666666666668
33,Alabama,1993,4162540,125.2853988523322,,,18116.0,16281.0,,7.24,,,31.083333333333332
34,Alabama,1994,4203192,123.2090900570661,,,18963.0,16981.0,,6.18,,,29.4
35,Alabama,1995,4243843,130.9912467601781,,,19874.0,17754.0,,5.83,,,31.04
36,Alabama,1996,4284494,137.2173717440556,,,20599.0,18333.0,,5.21,,,29.346153846153847
37,Alabama,1997,4325146,134.1199758359575,,154700.0,21487.0,19057.0,,4.93,,,28.423076923076923
38,Alabama,1998,4365797,133.4763195140281,,160396.4,22651.0,20103.0,,4.46,,,33.2
39,Alabama,1999,4406448,135.7809392806354,,166531.8,23296.0,20648.0,,4.73,109.0,,54.38095238095238
40,Alabama,2000,4447100,142.2986123969374,,168695.3,24258.0,21527.0,,4.62,108.0,,55.86363636363637
41,Alabama,2001,4480363,133.3203061039458,,168448.3,25046.0,22243.0,,5.18,107.0,,48.666666666666664
42,Alabama,2002,4513627,138.2959633267074,,172430.4,25671.0,23193.0,,5.93,106.0,,46.27272727272727
43,Alabama,2003,4546890,139.7897890756718,,178040.0,26700.0,24330.0,,5.98,107.0,,47.166666666666664
44,Alabama,2004,4580154,141.9751937232107,,189913.7,28385.0,25962.0,,5.58,108.0,,45.16
45,Alabama,2005,4613418,143.5316890190549,,197246.5,29780.0,26961.0,,4.46,109.0,2395.0,46.916666666666664
46,Alabama,2006,4646681,145.7686891831597,,199923.9,31264.0,28086.0,,4.0,109.0,,48.608695652173914
47,Alabama,2007,4679945,147.286933186749,,202025.5,32516.0,29148.0,,4.04,109.0,,53.2
48,Alabama,2008,4713208,139.3553767125349,88.852,200967.4,33441.0,30060.0,19777.0,5.88,109.0,,48.78947368421053
49,Alabama,2009,4746472,119.6956739810066,87.725,194192.1,32717.0,30104.0,20544.0,10.08,108.0,,45.26315789473684
50,Alabama,2010,4779736,132.402003433117,89.682,199455.0,33848.0,31090.0,15749.0,10.38,105.0,,51.05263157894737
51,Alabama,2011,4804190,129.355022591937,89.955,201372.8,34884.0,31757.0,19675.0,9.58,102.0,,46.8421052631579
52,Alabama,2012,4828644,122.4381814232588,90.515,203675.5,35559.0,32495.0,21161.0,8.16,97.0,,44.05882352941177
53,Alabama,2013,4853098,120.1310494062941,90.273,206962.9,35706.0,32393.0,19737.0,7.32,97.0,,41.27777777777778
54,Alabama,2014,4877553,122.3142620437094,90.137,206070.0,36722.0,33344.0,19609.0,6.73,96.0,2463.0,41.77777777777778
55,Alabama,2015,4902007,118.8116866058797,89.706,208950.3,38189.0,34531.0,22122.0,6.12,95.0,2552.0,44.94444444444444
56,Alabama,2016,4926461,113.4185993784179,90.58,212862.8,38704.0,34912.0,25141.0,5.91,95.0,2755.0,44.27777777777778
