Country,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Australia,1.532736112,1.605965501,1.703134949,1.806097512,1.880741748,2.052365799,2.155707455,2.253942072,2.409681339,2.56284385,2.606040672,2.696717486,2.829486644,2.920395126,3.028649123,3.039289074,3.088058041,3.059710082,3.029657659,3.136879428,3.226655321,3.284680619,3.37513721,3.532731266,3.706966395,3.783885651,3.758183248,3.817512963,3.903993905,4.051985155,4.155476322,4.277292727,4.382236911,4.486789924,4.670450448,4.698934257,4.735387048,4.830282431,4.899104262,5.055998866,5.077260756,5.295016448,5.422201321,5.514283673,5.43436046,5.431819051,5.61096849,5.53000668,5.600110208,5.639249218,5.764573873,5.783409646,5.765925205,5.849953982,6.047437835,5.706454901,5.720670194,5.979657817,6.020841075
Brazil,0.985930651,1.075608498,1.114484732,1.272549695,1.388923176,1.632110108,1.818817422,2.077137734,2.446639522,2.726617376,2.877556514,3.15057019,3.360115693,3.716165538,4.055236962,4.151239222,4.068137309,4.277384801,4.326432537,4.606914321,4.937950909,5.208662167,5.353017667,5.518311092,5.674623847,5.637570184,5.819739626,5.901500789,6.174731536,6.475883806,6.886053875,7.291255364,7.751710474,8.024899572,8.116624136,8.484351221,8.272200562,8.460467711,8.620636135,9.039802901,9.275024913,9.530622342,10.14436658,10.58123919,10.50691822,11.46613232,11.86484311,12.21235443,12.50618269,12.8319063,12.66104507,12.35579537,12.46677573,12.51348606,12.71862254,12.2197255,12.85441075,13.43592232,13.87337272
Canada,5.000530282,5.323647939,5.566649506,5.924124717,6.283252246,6.726827993,6.937723588,7.467378758,8.10915643,8.364237249,8.240174755,8.629160017,9.127952967,9.303178647,9.576737768,9.762096643,9.704772383,9.412660267,9.361098116,9.958185188,10.28619025,10.38572655,10.71940788,11.14864512,11.25861171,10.83089504,10.87498019,11.16621093,11.44802387,11.88416085,12.17479295,12.50652949,12.5684829,12.3882094,12.78327279,13.13096233,12.85955214,13.29621406,13.35967651,13.56504337,13.65572082,13.5790196,14.09704011,13.92936364,13.38371349,13.50892683,14.0183352,14.0610389,14.39658982,14.42788715,14.46952665,14.34237848,14.53744231,14.72460513,14.64426148,13.75805877,13.9211144,14.2991053,13.94959237
China,5.530299153,6.009508569,5.403846312,5.460105073,6.64267008,8.502114445,10.08044697,10.86781202,11.47281471,11.83234218,13.24958926,13.9493759,15.21054783,16.67531773,17.17857283,17.37912226,17.14985889,17.91673285,19.07171389,20.4665201,22.14133584,23.19878283,25.02086025,26.88160396,28.21117157,28.57769753,30.01539839,31.58535074,34.04748217,36.17572382,37.26957034,39.26681797,39.53208048,39.60203898,40.98984423,42.48102343,44.89222731,48.88976633,56.94752261,66.63288805,75.69779453,82.9739989,90.17847081,93.67366702,97.77203649,104.6001941,112.8115282,117.4470456,121.8692339,125.0246347,126.4895534,126.9997664,131.9377817,138.2747188,144.6787611,149.3773659,157.8492196,160.2587355,170.7392316
Germany,10.68945587,10.71720436,10.68995267,11.41348585,12.31120112,12.99965935,13.11680484,13.57280139,14.35447509,14.10489883,13.55244456,14.46085601,14.42588614,14.94783674,15.77847102,15.26123708,14.78603997,14.26496696,14.46664136,15.00116765,15.4451838,15.31683394,15.44824143,15.50075585,15.33668262,15.09350927,14.72631409,14.43361529,14.36949531,14.2350193,14.30926221,14.78104472,14.59147372,14.4706736,14.26881735,14.35744521,14.62607696,14.4422026,14.43769551,14.43561564,14.26548671,14.62459356,14.01632414,14.16479913,13.29184172,13.84974478,13.35810499,13.54289839,13.92666165,13.35767306,13.61109523,13.8292249,13.99728044,13.63565748,13.30142329,12.39797579,12.760492,12.28680094,11.41037916
Japan,6.594613619,7.483950318,8.395584844,9.249435023,10.7845601,12.30762769,12.89430265,13.80620549,15.15360911,15.01507564,14.86826414,15.49554922,15.42520951,15.75886433,16.05119117,15.4748068,15.22910793,14.76260897,15.19367142,15.73591872,16.13191727,16.11013581,16.812397,17.73841594,18.21799165,18.66342689,19.30862792,19.53465645,19.86112161,20.58622874,21.28285925,21.70589116,22.12907159,21.77885199,22.11844,22.51196517,22.26853384,22.19722663,22.18648504,22.48958427,22.86870494,22.8089581,22.58816913,22.17071468,20.23916793,21.54167814,20.40914887,20.21718203,20.07222164,19.55238294,19.31014791,19.06417884,19.27683865,19.13960279,18.73993335,17.37089633,18.13493368,18.01757157,17.4037453
India,2.230025182,2.298289783,2.370360575,2.53434686,2.809569627,2.749466849,2.859790654,3.009090838,3.071965389,3.254355531,3.499240508,3.670034746,3.881952088,4.035502078,4.258652117,4.38695625,4.857424226,4.809776491,5.058180772,5.403306831,5.703345668,6.104126099,6.490272883,7.064285252,7.71628882,8.28252437,8.739587083,9.189979939,9.418493182,9.925636751,10.66722495,11.09387301,11.70723547,12.41818805,12.76690565,13.41144407,13.46714457,13.93491084,14.43135562,15.66954537,16.59030118,17.47751927,18.96825601,20.07550441,21.57066935,22.50477488,23.73253515,25.01526723,25.84339072,27.59041251,28.54684619,29.82589754,30.9626712,32.71718532,33.54246003,31.78214923,34.50628304,36.3714589,39.01628171
UK,8.338408886,8.378999706,8.38157082,8.68112785,8.995429121,9.183754846,9.013858758,9.146514557,9.601499595,9.119445086,8.597696997,8.774490371,8.938615009,8.989894152,9.410539556,8.572052076,8.334690571,8.226608798,8.259872511,8.256299058,8.60661521,8.845400186,8.830569234,8.948474126,8.959292679,9.030216665,9.220380184,9.163178906,9.269010434,9.157762783,9.189162908,9.634661263,9.467995673,9.545824531,9.501189068,9.590818744,9.690502428,9.471024532,9.607443398,9.686346675,9.765657144,9.642013955,9.375091009,9.211737443,8.746693906,8.932031636,8.430229018,8.565336525,8.556181189,8.085765515,8.212892277,8.076761086,8.096674701,8.088485707,7.91664697,7.09627637,7.167449242,7.267842619,6.950134171
USA,51.9829235,54.89050885,56.80274197,60.18978707,63.30032285,65.54102138,66.92043164,70.25069155,73.22326209,71.43338501,69.55013557,73.35543364,75.22432765,76.89344874,77.70384055,74.70704892,72.49713615,69.54530391,69.3019129,72.84848091,72.66328219,73.33778554,75.79895875,79.2525017,81.16856033,81.39310584,81.28698951,82.48719659,84.22698771,85.76686919,87.63630851,90.59534436,91.2747439,91.84810383,93.47427226,95.56644835,93.30608206,94.67017005,94.97910366,96.83682558,96.88523181,96.11986674,97.44015959,95.06609958,90.39789583,93.43277011,92.62471885,90.17052141,92.62306236,93.58528648,92.69073534,92.61738434,92.96584517,96.36835438,95.68257901,88.64153272,93.44457862,95.415497,94.28111935
Russia,24.90075024,26.48238019,27.8315569,28.87281637,30.20871179,31.71569918,33.27247104,34.96492692,36.75607497,38.78863563,40.70291144,42.29015902,44.18767065,46.10120142,47.36345994,48.42585719,49.45770925,50.68891704,51.75760722,53.71374083, 34.39850032,35.00804031,36.15344918,36.78501976,36.92098689,36.27397098,35.77911537,34.4398311,32.10886957,29.29832786,27.72731916,26.68752813,25.23961893,25.19260823,25.51153521,25.97072607,26.38176358,26.27445841,26.81448235,27.05071693,27.01404879,28.21297086,28.36200438,28.49265352,27.07988334,28.13124837,29.08997474,29.26210878,28.91709135,29.00794267,28.54999901,29.109828,29.28867426,30.35595061,30.13210847,29.08429284,30.00728468,31.07586381,31.29117757
