,Country,Year,Total Water Consumption (Billion Cubic Meters),Per Capita Water Use (Liters per Day),Agricultural Water Use (%),Industrial Water Use (%),Household Water Use (%),Rainfall Impact (Annual Precipitation in mm),Groundwater Depletion Rate (%)
25,Australia,2000,545.04,296.13,54.66375,32.665,21.75625,1549.73125,2.36625
26,Australia,2001,448.229,247.556,46.922,23.326,26.132,1554.3,2.698
27,Australia,2002,488.0033333,236.6966667,58.88666667,25.145,26.34166667,1457.325,2.206666667
28,Australia,2003,540.81,275.3416667,48.9825,32.625,23.8275,1721.613333,3.324166667
29,Australia,2004,503.8664286,261.0157143,51.07142857,27.65071429,26.55857143,1931.437143,2.214285714
30,Australia,2005,503.61,255.9045455,53.11545455,30.74727273,22.64363636,1392.708182,2.252727273
31,Australia,2006,438.3757143,279.7478571,48.02642857,32.05928571,26.485,1300.371429,2.282857143
32,Australia,2007,376.92375,228.62125,53.56125,27.13625,29.6725,1529.41,3.19875
33,Australia,2008,511.38,238.47,55.68461538,23.33230769,26.02846154,1611.926923,2.011538462
34,Australia,2009,442.79875,258.61625,47.38875,25.6975,26.46625,980.3125,2.75375
35,Australia,2010,556.146,235.882,43.208,25.952,27.277,1605.123,3.443
36,Australia,2011,467.7744444,281.5111111,52.68222222,30.69777778,22.74777778,1955.788889,2.916666667
37,Australia,2012,498.1664706,265.8988235,55.87176471,26.75352941,24.42,1286.410588,2.429411765
38,Australia,2013,426.5841667,258.6558333,53.82833333,32.01416667,20.19083333,1619.6325,2.85
39,Australia,2014,538.1064286,290.0314286,60.51285714,28.47571429,22.62214286,1414.902857,2.522857143
40,Australia,2015,521.4066667,286.9333333,65.12444444,32.24444444,24.15111111,1394.204444,3.284444444
41,Australia,2016,446.722,261.3993333,59.50533333,25.97133333,23.10933333,1370.126,2.992
42,Australia,2017,626.71625,314.8475,55.92,31.86375,24.64375,1009.385,2.37375
43,Australia,2018,603.2993333,288.7166667,56.09066667,34.11,25.41866667,1299.113333,2.625333333
44,Australia,2019,548.0716667,299.96,40.895,24.34,21.91833333,1457.06,2.598333333
45,Australia,2020,484.79875,292.505,48.47375,23.68,27.54625,1549.61875,2.38
46,Australia,2021,659.4511111,288.9488889,41.39111111,25.62333333,26.46444444,1640.824444,2.012222222
47,Australia,2022,477.698125,298.385,53.025625,25.974375,25.078125,1411.735625,2.84875
48,Australia,2023,207.795,322.3866667,59.68833333,40.56833333,30.145,1297.586667,2.51
49,Australia,2024,644.005,253.959,55.513,29.457,26.868,1535.133,1.656
50,Brazil,2000,535.3028571,254.0585714,48.39285714,21.06285714,25.73428571,1835.337143,2.567142857
51,Brazil,2001,639.0090909,200.5309091,54.66181818,34.16727273,21.84545455,1524.764545,2.799090909
52,Brazil,2002,433.875,286.586,54.407,24.681,23.399,2000.491,2.383
53,Brazil,2003,613.36,346.6015385,55.85,30.47230769,27.44769231,1511.286923,2.877692308
54,Brazil,2004,511.8836364,248.6281818,51.44727273,32.37363636,22.47090909,1641.064545,2.613636364
55,Brazil,2005,560.6266667,274.1866667,47.74222222,26.63222222,19.81555556,1706.97,2.675555556
56,Brazil,2006,781.3428571,236.87,50.32571429,36.27,27.44428571,1818.135714,2.331428571
57,Brazil,2007,642.8583333,285.6816667,52.52,26.15333333,17.37666667,1863.853333,2.211666667
58,Brazil,2008,665.5016667,273.875,42.34,28.61333333,23.34333333,1356.306667,2.853333333
59,Brazil,2009,498.7066667,278.9455556,53.11,27.85666667,26.01222222,1459.541111,2.817777778
60,Brazil,2010,337.0366667,230.1077778,55.20888889,21.98555556,25.16111111,1933.672222,1.643333333
61,Brazil,2011,483.5825,266.6833333,47.615,25.46833333,28.005,1403.941667,2.779166667
62,Brazil,2012,469.025,331.6375,36.3725,22.0175,25.9475,1650.935,2.2375
63,Brazil,2013,562.74125,197.11875,47.295,18.0575,27.91625,1699.57875,2.78375
64,Brazil,2014,559.112,317.394,58.716,28.48133333,27.96533333,1647.265333,2.271333333
65,Brazil,2015,574.5815385,348.3384615,47.07307692,33.68461538,22.42307692,1569.433077,1.808461538
66,Brazil,2016,501.7923077,289.3046154,50.24923077,28.60307692,27.30692308,2017.038462,3.008461538
67,Brazil,2017,574.563,292.3,45.357,27.285,26.176,1338.94,2.189
68,Brazil,2018,287.1566667,248.6733333,42.20833333,26.99833333,27.89,1074.935,2.69
69,Brazil,2019,497.8663636,228.5627273,60.82818182,25.43727273,24.23727273,1452.016364,2.879090909
70,Brazil,2020,553.0541176,261.3735294,47.09529412,29.15352941,27.90882353,1771.814706,2.653529412
71,Brazil,2021,457.14,264.78125,45.7425,27.22,21.1825,1620.69375,2.27875
72,Brazil,2022,417.748,289.605,53.949,22.364,24.084,1606.203,2.56
73,Brazil,2023,688.2325,336.95875,39.915,21.9125,26.52125,1420.54625,1.82875
74,Brazil,2024,417.18875,309.9975,55.47,18.35625,23.85875,1354.0525,2.8725
75,Canada,2000,382.5146154,236.62,51.28615385,21.67461538,26.30923077,1423.098462,2.273846154
76,Canada,2001,336.8311111,360.4011111,49.65888889,29.44777778,24.85333333,1244.823333,2.134444444
77,Canada,2002,523.434,315.01,56.214,27.199,24.177,1902.677,3.398
78,Canada,2003,346.3242857,196.96,49.38857143,34.52285714,27.11428571,1343.852857,2.988571429
79,Canada,2004,397.045,363.612,50.919,35.19,20.717,1820.441,2.459
80,Canada,2005,511.832,223.712,46.746,29.47,21.278,1606.15,3.928
81,Canada,2006,748.4233333,319.7166667,55.50333333,43.58333333,21.82666667,1202.826667,2.54
82,Canada,2007,572.6066667,270.1277778,49.50666667,28.00555556,23.99555556,1688.984444,1.99
83,Canada,2008,522.7742857,236.3428571,42.83857143,30.79285714,21.55285714,1010.11,3.74
84,Canada,2009,361.4271429,220.7835714,45.11,27.53642857,25.85642857,1851.837143,2.993571429
85,Canada,2010,532.35,218.36875,54.685,31.305,26.1275,1776.94125,3.1825
86,Canada,2011,538.9313333,333.4326667,57.00333333,25.74,25.19066667,1949.646667,2.631333333
87,Canada,2012,478.68375,264.65375,47.1725,30.0575,24.465,1403.48625,2.97625
88,Canada,2013,460.666,140.288,49.074,38.574,26.216,1733.832,2.532
89,Canada,2014,563.8890909,192.1927273,42.29727273,28.48363636,23.93454545,1622.126364,3.225454545
90,Canada,2015,367.232,318.078,46.974,27.834,32.21,1586.67,4.114
91,Canada,2016,568.3621053,255.0647368,46.92263158,23.71736842,24.36210526,1488.141579,2.496842105
92,Canada,2017,386.1366667,181.9433333,52.955,34.02666667,27.52,2060.451667,2.68
93,Canada,2018,563.8364286,301.8814286,50.54857143,27.85214286,23.12071429,1431.243571,2.653571429
94,Canada,2019,545.6142857,330.0142857,55.50714286,26.14,22.36428571,1200.763571,3.002142857
95,Canada,2020,445.1363636,315.7736364,46.30636364,27.50545455,25.50727273,1165.987273,2.376363636
96,Canada,2021,597.2784615,277.4907692,51.01769231,29.44538462,26.06384615,1350.286154,2.098461538
97,Canada,2022,470.68,260.4033333,53.52111111,28.25,22.12,1277.861111,2.641111111
98,Canada,2023,653.7088889,333.3888889,50.0,23.55333333,26.95222222,1161.61,2.785555556
99,Canada,2024,476.976875,216.31125,57.044375,26.726875,26.4175,1312.939375,3.0
100,China,2000,681.0283333,304.215,59.855,29.28833333,31.20166667,1162.198333,2.95
101,China,2001,611.81,338.03125,49.53,27.50875,24.2175,2039.9125,2.94375
102,China,2002,440.7053846,236.3661538,48.57923077,30.26307692,26.95692308,1538.954615,2.877692308
103,China,2003,560.2175,254.99,47.54375,30.1575,21.235,1030.6175,2.76875
104,China,2004,798.418,332.616,49.508,32.036,26.33,1494.778,2.802
105,China,2005,561.7107692,269.9892308,60.50538462,31.58615385,24.89307692,1564.781538,2.165384615
106,China,2006,455.5545455,296.5945455,45.90090909,23.29,27.98454545,1801.888182,2.977272727
107,China,2007,462.5009091,266.9436364,56.33090909,23.10636364,27.83636364,1444.176364,3.033636364
108,China,2008,558.4945455,299.8290909,47.24454545,24.14818182,21.31909091,1226.450909,3.698181818
109,China,2009,383.6785714,247.7771429,56.41428571,27.73285714,23.78857143,1109.032857,3.081428571
110,China,2010,557.6533333,252.5793333,54.532,30.60133333,26.17533333,1626.742667,1.541333333
111,China,2011,578.89,262.365,58.845,30.8525,28.305,1197.7875,2.2475
112,China,2012,542.623,299.206,48.454,27.471,19.249,1929.226,2.306
113,China,2013,543.57,261.1914286,53.80428571,25.29,24.46857143,1088.364286,1.625714286
114,China,2014,624.3155556,288.2322222,55.65333333,28.84222222,26.51111111,1302.847778,2.283333333
115,China,2015,347.4677778,182.4388889,47.64,26.65111111,25.84888889,1616.388889,3.206666667
116,China,2016,524.2093333,289.5946667,51.64733333,32.768,28.11466667,1755.536667,3.066
117,China,2017,525.1928571,299.985,58.73428571,30.68357143,28.44214286,2011.710714,2.136428571
118,China,2018,510.1583333,333.8425,54.6525,25.3025,25.25583333,1725.075,2.175833333
119,China,2019,607.9222222,291.7477778,56.23888889,26.22666667,28.19666667,1634.894444,2.55
120,China,2020,415.4814286,246.5278571,47.83357143,28.22571429,23.76214286,1845.061429,2.253571429
121,China,2021,436.1333333,261.1344444,40.21666667,25.81,26.01111111,1528.583333,2.482222222
122,China,2022,528.547,273.902,46.55,26.054,22.024,1786.207,2.078
123,China,2023,369.989,364.445,45.533,26.864,23.03,1682.639,2.361
124,China,2024,507.325,253.1391667,50.8875,25.61,26.77833333,1796.505833,2.5125
150,Germany,2000,215.224,294.826,43.592,30.644,28.184,1112.872,3.1
151,Germany,2001,646.4285714,274.7657143,46.67285714,31.13285714,28.46285714,1664.31,2.58
152,Germany,2002,569.154,289.43,53.094,25.012,27.314,2031.092,1.803
153,Germany,2003,727.987,289.484,38.056,29.648,24.222,1384.207,2.231
154,Germany,2004,436.425,178.7675,34.9675,40.955,29.1275,700.23,2.3675
155,Germany,2005,356.9516667,272.4358333,48.36916667,26.52,21.9375,1777.863333,3.26
156,Germany,2006,519.47,297.8015385,53.29538462,32.12384615,25.04230769,1911.536923,2.576923077
157,Germany,2007,603.3772727,287.8272727,58.75636364,24.86090909,26.43363636,1477.133636,2.460909091
158,Germany,2008,625.7871429,285.2742857,47.80714286,35.81,20.66714286,1724.527143,1.632857143
159,Germany,2009,129.6366667,266.55,47.27666667,29.82,13.82333333,1329.656667,2.166666667
160,Germany,2010,322.49,263.3571429,43.07142857,27.53,23.22857143,1013.737143,1.607142857
161,Germany,2011,613.3222222,184.7377778,39.73333333,23.77888889,23.37777778,1436.822222,3.415555556
162,Germany,2012,496.1746667,274.8626667,46.56466667,20.73533333,26.72066667,1663.107333,3.073333333
163,Germany,2013,373.52,350.7085714,58.90142857,30.94142857,27.59,1651.584286,2.021428571
164,Germany,2014,531.3715385,222.1376923,51.77230769,23.62461538,20.43615385,1711.955385,3.820769231
165,Germany,2015,660.48,325.885,41.15833333,18.99666667,22.03833333,1783.005,1.963333333
166,Germany,2016,528.5615385,275.1153846,45.71384615,26.94307692,17.56,1593.666923,2.963846154
167,Germany,2017,548.83125,211.255,44.12,33.53875,24.8825,1364.22625,2.8675
168,Germany,2018,514.1881818,285.7018182,46.78272727,30.7,25.52363636,1293.692727,3.062727273
169,Germany,2019,531.1414286,287.0771429,42.09428571,30.03285714,24.45,1919.274286,2.458571429
170,Germany,2020,648.9569231,294.7538462,44.64384615,30.8,23.62307692,1532.419231,2.343076923
171,Germany,2021,425.7872727,264.1345455,47.39818182,30.96818182,23.85545455,1441.611818,2.3
172,Germany,2022,528.0978571,281.5335714,52.33571429,26.935,24.12071429,1676.251429,2.732142857
173,Germany,2023,564.022,248.521,53.012,28.683,25.183,1637.84,2.626
174,Germany,2024,551.2027273,253.6290909,55.76909091,25.41545455,23.27363636,916.2636364,3.237272727
175,India,2000,422.3925,404.35,37.4875,39.08,23.735,1568.955,2.265
176,India,2001,478.7561538,200.8846154,59.99,20.73461538,25.14,1766.200769,3.038461538
177,India,2002,344.7375,333.9275,44.505,26.87375,25.98875,1603.475,1.89
178,India,2003,455.10375,298.295,46.62625,25.02,23.38,2220.125,2.235
179,India,2004,450.94,228.80875,52.235,21.03875,26.45125,1353.02875,2.3575
180,India,2005,479.3322222,338.3655556,51.53333333,28.48555556,23.52222222,1663.057778,2.076666667
181,India,2006,603.7157143,269.3114286,52.88571429,24.80142857,19.36714286,1877.765714,3.242857143
182,India,2007,438.1342857,381.5571429,40.76285714,32.83571429,25.37285714,1676.654286,1.787142857
183,India,2008,629.8133333,341.8922222,46.10222222,35.65222222,19.91,2011.234444,3.021111111
184,India,2009,558.145,223.319,43.687,26.604,25.576,1710.032,2.351
185,India,2010,525.5208333,316.4225,52.28833333,23.4525,23.13333333,1320.158333,1.718333333
186,India,2011,715.1671429,269.5357143,65.79142857,30.23571429,28.43142857,1213.161429,3.002857143
187,India,2012,598.0823077,328.2092308,49.09153846,27.76,23.63307692,1334.451538,2.146923077
188,India,2013,623.0138462,296.5915385,55.98846154,20.49846154,25.69076923,1236.723077,2.245384615
189,India,2014,500.4377778,236.1577778,54.77888889,35.39888889,26.25222222,1814.193333,2.734444444
190,India,2015,551.1209091,232.7263636,41.87272727,30.28090909,22.2,1314.403636,3.02
191,India,2016,425.52625,312.06125,44.6225,28.97875,22.28625,1839.97875,3.09375
192,India,2017,628.4944444,273.0844444,53.49666667,25.77222222,29.67666667,1399.413333,2.351111111
193,India,2018,407.4209091,290.4927273,50.45636364,31.29090909,23.58636364,1713.833636,2.441818182
194,India,2019,427.826,271.546,52.226,26.398,27.722,999.733,2.24
195,India,2020,446.3557143,289.6614286,64.49857143,26.79285714,24.05285714,1574.561429,2.675714286
196,India,2021,442.6990909,276.6518182,45.21909091,24.58636364,22.59363636,1742.164545,2.157272727
197,India,2022,497.8878571,354.5978571,47.52,33.61357143,22.99142857,2146.368571,2.968571429
198,India,2023,451.2883333,273.0,48.39166667,25.33166667,27.9325,1603.4575,2.905833333
199,India,2024,479.7509091,337.7518182,42.76363636,26.45818182,22.64727273,1391.921818,2.178181818
