Year,State,Traffic Fatalities
2015,TX,"9,976"
2021,OH,"9,919"
2014,TX,"9,723"
2022,OH,"9,682"
2020,PA,"9,565"
2017,PA,"9,527"
2020,OH,"9,436"
2014,FL,"9,433"
2017,OH,"8,971"
2005,FL,"8,868"
2022,NC,"8,858"
2020,NY,"8,756"
2005,TX,"8,598"
2019,PA,"8,596"
2018,PA,"8,585"
2021,NC,"8,539"
2016,PA,"8,410"
2019,OH,"8,287"
2016,OH,"7,999"
2018,OH,"7,755"
2017,NY,"7,687"
2021,IL,"7,664"
2022,IL,"7,597"
2018,NY,"7,415"
2019,NY,"7,390"
2020,NC,"7,379"
2016,NY,"7,354"
2015,PA,"7,324"
2020,IL,"7,170"
2022,TN,"7,114"
2021,TN,"7,076"
2015,OH,"6,756"
2014,PA,"6,640"
2021,MI,"6,541"
2022,GA,"6,519"
2015,NY,"6,515"
2022,MI,"6,425"
2021,GA,"6,353"
2019,NC,"6,190"
2014,OH,"6,178"
2020,TN,"6,107"
2020,MI,"6,097"
2019,IL,"6,095"
2017,IL,"6,019"
2018,IL,"6,016"
2018,NC,"6,007"
2017,NC,"5,985"
2021,AZ,"5,961"
2014,NY,"5,945"
2022,AZ,"5,928"
2017,MI,"5,623"
2018,MI,"5,555"
2022,WA,"5,546"
2020,GA,"5,517"
2016,IL,"5,508"
2016,NC,"5,476"
2005,PA,"5,446"
2019,MI,"5,422"
2020,AZ,"5,398"
2021,VA,"5,358"
2016,MI,"5,313"
2022,VA,"5,275"
2021,IN,"5,246"
2021,WA,"5,120"
2021,NJ,"5,077"
2015,NC,"4,991"
2022,IN,"4,989"
2022,NJ,"4,956"
2022,WI,"4,951"
2022,MO,"4,940"
2019,TN,"4,856"
2015,IL,"4,850"
2022,SC,"4,827"
2021,MO,"4,814"
2022,MA,"4,783"
2020,NJ,"4,761"
2020,VA,"4,723"
2021,WI,"4,717"
2017,GA,"4,712"
2021,SC,"4,701"
2016,GA,"4,701"
2020,WI,"4,682"
2018,NJ,"4,676"
2019,NJ,"4,650"
2015,MI,"4,647"
2005,NY,"4,645"
2014,IL,"4,644"
2021,MA,"4,624"
2020,IN,"4,580"
2019,GA,"4,563"
2019,AZ,"4,558"
2014,NC,"4,558"
2021,LA,"4,489"
2018,TN,"4,483"
2017,NJ,"4,482"
2005,OH,"4,438"
2017,TN,"4,435"
2014,MI,"4,422"
2020,MO,"4,418"
2018,GA,"4,418"
2021,KY,"4,373"
2015,GA,"4,344"
2022,LA,"4,320"
2022,CO,"4,268"
2018,AZ,"4,251"
2016,TN,"4,238"
2020,WA,"4,216"
2021,CO,"4,206"
2022,KY,"4,193"
2020,SC,"4,184"
2017,AZ,"4,184"
2005,IL,"4,182"
2005,NC,"4,123"
2019,WI,"4,087"
2020,MA,"4,081"
2019,MA,"4,052"
2016,AZ,"4,010"
2019,VA,"3,994"
2017,IN,"3,978"
2018,MO,"3,975"
2018,MA,"3,971"
2014,GA,"3,964"
2020,KY,"3,950"
2019,MO,"3,950"
2018,VA,"3,936"
2017,VA,"3,922"
2022,MN,"3,882"
2019,IN,"3,876"
2015,TN,"3,873"
2016,NJ,"3,839"
2016,MA,"3,831"
2017,MA,"3,821"
